Text,Sentiment,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour,Clean_Text
 enjoying a beautiful day at the park              ,Positive, User123      , Twitter  , #Nature #Park                            ,15.0,30.0, USA      ,2023,1,15,12,enjoying beautiful day park
 traffic was terrible this morning                 ,Negative, CommuterX    , Twitter  , #Traffic #Morning                        ,5.0,10.0, Canada   ,2023,1,15,8,traffic terrible morning
 just finished an amazing workout                ,Positive, FitnessFan   , Instagram , #Fitness #Workout                        ,20.0,40.0, USA        ,2023,1,15,15,finished amazing workout
 excited about the upcoming weekend getaway        ,Positive, AdventureX   , Facebook , #Travel #Adventure                       ,8.0,15.0, UK       ,2023,1,15,18,excited upcoming weekend getaway
 trying out a new recipe for dinner tonight        ,Neutral, ChefCook     , Instagram , #Cooking #Food                           ,12.0,25.0, Australia ,2023,1,15,19,trying new recipe dinner tonight
 feeling grateful for the little things in life    ,Positive, GratitudeNow , Twitter  , #Gratitude #PositiveVibes              ,25.0,50.0, India    ,2023,1,16,9,feeling grateful little thing life
 rainy days call for cozy blankets and hot cocoa   ,Positive, RainyDays    , Facebook , #RainyDays #Cozy                         ,10.0,20.0, Canada   ,2023,1,16,14,rainy day call cozy blanket hot cocoa
 the new movie release is a mustwatch             ,Positive, MovieBuff    , Instagram , #MovieNight #MustWatch                  ,15.0,30.0, USA    ,2023,1,16,19,new movie release mustwatch
 political discussions heating up on the timeline  ,Negative, DebateTalk   , Twitter  , #Politics #Debate                       ,30.0,60.0, USA      ,2023,1,17,8,political discussion heating timeline
 missing summer vibes and beach days               ,Neutral, BeachLover   , Facebook , #Summer #BeachDays                      ,18.0,35.0, Australia ,2023,1,17,12,missing summer vibe beach day
 just published a new blog post check it out      ,Positive, BloggerX     , Instagram , #Blogging #NewPost                      ,22.0,45.0,USA,2023,1,17,15,published new blog post check
 feeling a bit under the weather today             ,Negative, WellnessCheck, Twitter  , #SickDay #Health                        ,7.0,15.0, Canada   ,2023,1,18,10,feeling bit weather today
 exploring the citys hidden gems                  ,Positive, UrbanExplorer, Facebook , #CityExplore #HiddenGems                ,12.0,25.0, UK       ,2023,1,18,14,exploring city hidden gem
 new year new fitness goals                     ,Positive, FitJourney   , Instagram , #NewYear #FitnessGoals                  ,28.0,55.0, USA        ,2023,1,18,18,new year new fitness goal
 technology is changing the way we live            ,Neutral, TechEnthusiast, Twitter  , #Tech #Innovation                       ,15.0,30.0, India    ,2023,1,19,9,technology changing way live
 reflecting on the past and looking ahead          ,Positive, Reflections  , Facebook , #Reflection #Future                     ,20.0,40.0, USA      ,2023,1,19,13,reflecting past looking ahead
 just adopted a cute furry friend               ,Positive, PetAdopter   , Instagram , #PetAdoption #FurryFriend               ,15.0,30.0, Canada    ,2023,1,19,17,adopted cute furry friend
 latenight gaming session with friends            ,Positive, GamerX       , Twitter  , #Gaming #LateNight                      ,18.0,35.0, UK       ,2023,1,20,0,latenight gaming session friend
 attending a virtual conference on ai              ,Neutral, TechConference, Facebook , #AI #TechConference                     ,25.0,50.0,USA,2023,1,20,11,attending virtual conference ai
 winter blues got me feeling low                   ,Negative, WinterBlues  , Instagram , #WinterBlues #Mood                      ,8.0,15.0, USA       ,2023,1,20,15,winter blue got feeling low
 sipping coffee and enjoying a good book           ,Positive, Bookworm     , Twitter  , #Reading #CoffeeTime                    ,22.0,45.0, India    ,2023,1,21,8,sipping coffee enjoying good book
 exploring the world of virtual reality            ,Positive, VRExplorer   , Facebook , #VR #VirtualReality                     ,15.0,30.0,USA,2023,1,21,13,exploring world virtual reality
 productive day ticking off my todo list          ,Positive, ProductivityPro, Instagram , #Productivity #WorkFromHome           ,30.0,60.0, USA ,2023,1,21,16,productive day ticking todo list
 just finished a challenging workout routine       ,Positive, FitnessWarrior, Twitter  , #Fitness #ChallengeAccepted             ,20.0,40.0, UK       ,2023,1,22,9,finished challenging workout routine
 celebrating a milestone at work                ,Positive, CareerMilestone, Facebook , #Career #Milestone                      ,12.0,25.0, Canada  ,2023,1,22,14,celebrating milestone work
 sunday brunch with friends                        ,Positive, BrunchBuddy  , Instagram , #Brunch #Friends                       ,15.0,30.0, UK ,2023,1,22,12,sunday brunch friend
 learning a new language for personal growth       ,Positive, LanguageLearner, Facebook , #LanguageLearning #PersonalGrowth       ,25.0,50.0, India     ,2023,1,23,16,learning new language personal growth
 quiet evening with a good book                    ,Positive, BookLover    , Instagram , #Reading #QuietTime                     ,15.0,30.0, Australia ,2023,1,23,19,quiet evening good book
 reflecting on the importance of mental health     ,Positive, MentalHealthMatters, Twitter  , #MentalHealth #SelfCare                 ,22.0,45.0, USA      ,2023,1,24,11,reflecting importance mental health
 new painting in progress                        ,Positive, ArtistInAction, Facebook , #Art #PaintingInProgress             ,12.0,25.0, Canada ,2023,1,24,15,new painting progress
 weekend road trip to explore scenic views         ,Positive, RoadTripper  , Instagram , #RoadTrip #ScenicViews                  ,18.0,35.0, UK        ,2023,1,24,17,weekend road trip explore scenic view
 enjoying a cup of tea and watching the sunset     ,Positive, SunsetWatcher, Twitter  , #TeaTime #Sunset                       ,15.0,30.0, India    ,2023,1,25,18,enjoying cup tea watching sunset
 coding a new project with enthusiasm              ,Positive, CodeEnthusiast, Facebook , #Coding #Enthusiasm                   ,30.0,60.0, USA ,2023,1,25,13,coding new project enthusiasm
 feeling inspired after attending a workshop       ,Positive, WorkshopAttendee, Instagram , #Inspiration #Workshop                  ,25.0,50.0,USA,2023,1,26,9,feeling inspired attending workshop
 winter sports day at the local park               ,Positive, WinterSports  , Twitter  , #WinterSports #Fun                     ,15.0,30.0, Canada   ,2023,1,26,14,winter sport day local park
 quality time with family this weekend             ,Positive, FamilyTime   , Facebook , #FamilyTime #Weekend                    ,22.0,45.0, UK        ,2023,1,26,17,quality time family weekend
 attending a live music concert tonight            ,Positive, MusicLover   , Instagram , #Music #ConcertNight                  ,18.0,35.0, USA ,2023,1,27,20,attending live music concert tonight
 practicing mindfulness with meditation            ,Positive, MindfulMoments, Twitter  , #Mindfulness #Meditation               ,15.0,30.0, India    ,2023,1,27,12,practicing mindfulness meditation
 trying out a new dessert recipe                   ,Positive, DessertExplorer, Facebook , #Dessert #Cooking                      ,12.0,25.0, Canada ,2023,1,27,16,trying new dessert recipe
 excited about the upcoming gaming tournament      ,Positive, GamingEnthusiast, Instagram , #Gaming #Tournament                     ,30.0,60.0,USA,2023,1,28,9,excited upcoming gaming tournament
 planning a garden makeover for spring             ,Positive, GardenPlanner , Twitter  , #Gardening #Spring                     ,25.0,50.0, USA      ,2023,1,28,14,planning garden makeover spring
 celebrating a friends birthday tonight        ,Positive, BirthdayBash , Facebook , #Birthday #Celebration                  ,15.0,30.0, UK ,2023,1,28,19,celebrating friend birthday tonight
 feeling accomplished after a productive day       ,Positive, ProductivityWin, Instagram , #Accomplished #Success               ,22.0,45.0, India ,2023,1,29,17,feeling accomplished productive day
 a cozy evening with a good movie                 ,Positive, MovieNight   , Twitter  , #CozyNight #MovieTime                   ,18.0,35.0, Canada   ,2023,1,29,20,cozy evening good movie
